2018-04-29 19:03:37, Dayside Nadir, UVIS, 20180429_190343
2018-04-30 01:07:21, Dayside Nadir, UVIS, 20180430_010726
2018-04-30 01:26:23, Dayside Nadir, UVIS, 20180430_012628
2018-04-30 01:46:57, Dayside Nadir, UVIS, 20180430_014703
2018-04-30 02:03:58, Ingress Solar Occultation, UVIS, 20180430_020404
2018-04-30 02:44:08, Egress Solar Occultation, UVIS, 20180430_024414
2018-04-30 07:00:57, Dayside Nadir, UVIS, 20180430_070102
2018-04-30 07:19:50, Dayside Nadir, UVIS, 20180430_071955
2018-04-30 07:40:26, Dayside Nadir, UVIS, 20180430_074032
2018-04-30 07:57:44, Ingress Solar Occultation, UVIS, 20180430_075750
